date,avg_demand,state
2021/02/01,6654.541250000001,QLD1
2021/02/02,6779.174583333333,QLD1
2021/02/03,6505.792083333331,QLD1
2021/02/04,6617.779583333333,QLD1
2021/02/05,6686.862083333333,QLD1
2021/02/06,6472.277916666666,QLD1
2021/02/07,6939.544999999999,QLD1
2021/02/08,7154.433333333334,QLD1
2021/02/09,6690.258749999997,QLD1
2021/02/10,6528.451249999999,QLD1
2021/02/11,6531.450416666666,QLD1
2021/02/12,6569.933333333333,QLD1
2021/02/13,6395.279583333334,QLD1
2021/02/14,6427.2091666666665,QLD1
2021/02/15,6635.55,QLD1
2021/02/16,6466.142916666668,QLD1
2021/02/17,6337.939583333333,QLD1
2021/02/18,6517.596874999999,QLD1
2021/02/19,6691.274375,QLD1
2021/02/20,6307.049375000002,QLD1
2021/02/21,6500.957708333332,QLD1
2021/02/22,7260.547083333334,QLD1
2021/02/23,7231.086666666669,QLD1
2021/02/24,6824.3397916666645,QLD1
2021/02/25,6898.839999999999,QLD1
2021/02/26,7081.1277083333325,QLD1
2021/02/27,6727.071249999998,QLD1
2021/02/28,6770.522291666665,QLD1
2021/03/01,7134.006458333333,QLD1
2021/03/02,7060.223958333332,QLD1
2021/03/03,6855.423958333336,QLD1
2021/03/04,6479.555208333334,QLD1
2021/03/05,6352.982291666666,QLD1
2021/03/06,6126.532916666664,QLD1
2021/03/07,6132.168124999997,QLD1
2021/03/08,6723.164583333332,QLD1
2021/03/09,6772.5475000000015,QLD1
2021/03/10,6805.477083333334,QLD1
2021/03/11,6839.242499999999,QLD1
2021/03/12,6639.910624999998,QLD1
2021/03/13,6312.109791666666,QLD1
2021/03/14,6353.866458333331,QLD1
2021/03/15,6790.267708333334,QLD1
2021/03/16,6469.179999999999,QLD1
2021/03/17,6387.35625,QLD1
2021/03/18,6274.576666666667,QLD1
2021/03/19,6413.967083333332,QLD1
2021/03/20,6211.904791666668,QLD1
2021/03/21,6252.814791666667,QLD1
2021/03/22,6712.645833333336,QLD1
2021/03/23,6798.612291666665,QLD1
2021/03/24,6710.970208333332,QLD1
2021/03/25,6277.005833333335,QLD1
2021/03/26,6228.474791666665,QLD1
2021/03/27,6013.317291666667,QLD1
2021/03/28,5785.106458333333,QLD1
2021/03/29,6368.557916666665,QLD1
2021/03/30,6295.944583333333,QLD1
2021/03/31,6074.709375000001,QLD1
2021/04/01,6035.253124999998,QLD1
2021/04/02,5499.421458333334,QLD1
2021/04/03,5707.526041666668,QLD1
2021/04/04,5945.106458333333,QLD1
2021/04/05,6076.717916666668,QLD1
2021/04/06,6422.030208333333,QLD1
2021/04/07,6280.849999999999,QLD1
2021/04/08,6182.795416666667,QLD1
2021/04/09,6115.780208333336,QLD1
2021/04/10,5908.993541666666,QLD1
2021/04/11,5747.382291666665,QLD1
2021/04/12,5776.761874999999,QLD1
2021/04/13,5852.660833333335,QLD1
2021/04/14,5892.535208333332,QLD1
2021/04/15,5930.254166666668,QLD1
2021/04/16,6016.174999999999,QLD1
2021/04/17,5980.701458333334,QLD1
2021/04/18,5634.685833333334,QLD1
2021/04/19,6018.504166666666,QLD1
2021/04/20,6055.875208333334,QLD1
2021/04/21,6092.020208333331,QLD1
2021/04/22,6317.027708333334,QLD1
2021/04/23,5863.693750000003,QLD1
2021/04/24,5541.722708333335,QLD1
2021/04/25,5400.467291666667,QLD1
2021/04/26,5645.071666666667,QLD1
2021/04/27,5984.366666666666,QLD1
2021/04/28,6097.704583333332,QLD1
2021/04/29,6108.3125,QLD1
2021/04/30,6218.598125,QLD1
2021/05/01,5964.533125000002,QLD1
2021/05/02,5747.175833333335,QLD1
2021/05/03,5650.151875,QLD1
2021/05/04,6014.961458333334,QLD1
2021/05/05,6354.866875000001,QLD1
2021/05/06,5892.234583333334,QLD1
2021/05/07,5900.206041666667,QLD1
2021/05/08,5564.008125,QLD1
2021/05/09,5606.865624999999,QLD1
2021/05/10,5994.885625,QLD1
2021/05/11,6034.315208333333,QLD1
2021/05/12,6181.979583333331,QLD1
2021/05/13,5896.407708333335,QLD1
2021/05/14,5834.806041666667,QLD1
2021/05/15,5541.1239583333345,QLD1
2021/05/16,5496.117291666668,QLD1
2021/05/17,5986.6952083333335,QLD1
2021/05/18,6062.935208333332,QLD1
2021/05/19,6120.283958333333,QLD1
2021/05/20,5978.2889583333335,QLD1
2021/05/21,5926.9454166666665,QLD1
2021/05/22,5593.068124999999,QLD1
2021/05/23,5528.909791666668,QLD1
2021/05/24,5970.468541666666,QLD1
2021/05/25,5637.36625,QLD1
2021/05/26,5635.838750000002,QLD1
2021/05/27,5856.729166666668,QLD1
2021/05/28,5791.524166666667,QLD1
2021/05/29,5593.761458333333,QLD1
2021/05/30,5634.055416666667,QLD1
2021/05/31,5991.172083333335,QLD1
2021/06/01,5920.131874999998,QLD1
2021/06/02,5975.359374999999,QLD1
2021/06/03,6102.496458333332,QLD1
2021/06/04,5862.169375,QLD1
2021/06/05,5520.179375,QLD1
2021/06/06,5537.353958333333,QLD1
2021/06/07,6032.522916666665,QLD1
2021/06/08,6180.605208333333,QLD1
2021/06/09,6195.269374999999,QLD1
2021/06/10,6218.971874999999,QLD1
2021/06/11,6292.9225,QLD1
2021/06/12,5851.694791666666,QLD1
2021/06/13,5795.793958333335,QLD1
2021/06/14,6229.164791666667,QLD1
2021/06/15,6268.962083333335,QLD1
2021/06/16,6122.334166666667,QLD1
2021/06/17,5990.36,QLD1
2021/06/18,6054.633541666665,QLD1
2021/06/19,5717.463541666667,QLD1
2021/06/20,5623.118958333333,QLD1
2021/06/21,6016.614166666666,QLD1
2021/06/22,6151.950833333335,QLD1
2021/06/23,6087.133958333333,QLD1
2021/06/24,6143.032916666667,QLD1
2021/06/25,6325.368958333333,QLD1
2021/06/26,6170.456875,QLD1
2021/06/27,5845.5720833333335,QLD1
2021/06/28,6200.4627083333335,QLD1
2021/06/29,6241.378958333334,QLD1
2021/06/30,6259.6725,QLD1
2021/07/01,6353.900624999999,QLD1
2021/07/02,6228.075000000001,QLD1
2021/07/03,6091.813125,QLD1
2021/07/04,5562.258541666665,QLD1
2021/07/05,6094.397291666667,QLD1
2021/07/06,6321.293333333334,QLD1
2021/07/07,6123.016250000001,QLD1
2021/07/08,6316.298541666667,QLD1
2021/07/09,6258.065625,QLD1
2021/07/10,5774.383124999998,QLD1
2021/07/11,5751.673125,QLD1
2021/07/12,6245.5910416666675,QLD1
2021/07/13,6095.630208333335,QLD1
2021/07/14,6064.593958333332,QLD1
2021/07/15,6115.126041666667,QLD1
2021/07/16,6262.262083333334,QLD1
2021/07/17,5632.251041666666,QLD1
2021/07/18,5620.699791666667,QLD1
2021/07/19,6213.191041666668,QLD1
2021/07/20,6309.004166666665,QLD1
2021/07/21,6419.705833333331,QLD1
2021/07/22,6365.014375,QLD1
2021/07/23,6644.854166666667,QLD1
2021/07/24,5726.730416666668,QLD1
2021/07/25,5712.6691666666675,QLD1
2021/07/26,6289.933541666665,QLD1
2021/07/27,6189.041041666667,QLD1
2021/07/28,6080.618958333333,QLD1
2021/07/29,5967.584791666665,QLD1
2021/07/30,5958.293541666667,QLD1
2021/07/31,5544.008333333332,QLD1
2021/08/01,5431.069374999999,QLD1
2021/08/02,5833.051666666666,QLD1
2021/08/03,5957.803333333332,QLD1
2021/08/04,5750.231041666666,QLD1
2021/08/05,5795.137500000001,QLD1
2021/08/06,5908.737499999999,QLD1
2021/08/07,5666.361666666667,QLD1
2021/08/08,5616.744791666667,QLD1
2021/08/09,6151.311041666667,QLD1
2021/08/10,6058.163749999999,QLD1
2021/08/11,5988.96625,QLD1
2021/08/12,5822.448125000002,QLD1
2021/08/13,5778.18,QLD1
2021/08/14,5508.360833333333,QLD1
2021/08/15,5425.936458333334,QLD1
2021/08/16,5811.314583333333,QLD1
2021/08/17,5705.057291666667,QLD1
2021/08/18,6044.130625000001,QLD1
2021/08/19,5831.677500000002,QLD1
2021/08/20,5729.645625,QLD1
2021/08/21,5386.730416666666,QLD1
2021/08/22,5319.072083333333,QLD1
2021/08/23,5709.526250000002,QLD1
2021/08/24,5858.752916666665,QLD1
2021/08/25,5762.885208333334,QLD1
2021/08/26,5896.651458333331,QLD1
2021/08/27,5830.306666666667,QLD1
2021/08/28,5517.233541666667,QLD1
2021/08/29,5501.739999999999,QLD1
2021/08/30,5736.055208333335,QLD1
2021/08/31,5933.774791666664,QLD1
2021/09/01,5844.393541666667,QLD1
2021/09/02,5880.8875,QLD1
2021/09/03,5913.279166666667,QLD1
2021/09/04,5588.0647916666685,QLD1
2021/09/05,5720.598333333334,QLD1
2021/09/06,5816.751041666666,QLD1
2021/09/07,5666.624375000002,QLD1
2021/09/08,5778.427500000002,QLD1
2021/09/09,5747.886458333334,QLD1
2021/09/10,5644.404374999999,QLD1
2021/09/11,5348.935833333336,QLD1
2021/09/12,5369.348750000002,QLD1
2021/09/13,5910.741249999998,QLD1
2021/09/14,5590.3879166666675,QLD1
2021/09/15,5555.20625,QLD1
2021/09/16,5586.128750000003,QLD1
2021/09/17,5654.177500000002,QLD1
2021/09/18,5319.954375,QLD1
2021/09/19,5256.354166666667,QLD1
2021/09/20,5704.1256250000015,QLD1
2021/09/21,5620.6325,QLD1
2021/09/22,5453.6812500000015,QLD1
2021/09/23,5560.742916666666,QLD1
2021/09/24,5586.894375,QLD1
2021/09/25,5387.2910416666655,QLD1
2021/09/26,5438.576041666666,QLD1
2021/09/27,6081.214999999999,QLD1
2021/09/28,5994.265,QLD1
2021/09/29,6068.969791666667,QLD1
2021/09/30,5975.4608333333335,QLD1
2021/10/01,5873.258993055554,QLD1
2021/10/02,5281.205868055558,QLD1
2021/10/03,5214.8873611111085,QLD1
2021/10/04,5659.384722222221,QLD1
2021/10/05,5785.413402777774,QLD1
2021/10/06,5643.542361111107,QLD1
2021/10/07,5796.789097222222,QLD1
2021/10/08,5837.280000000001,QLD1
2021/10/09,5543.313437500002,QLD1
2021/10/10,5494.4998958333335,QLD1
2021/10/11,5998.236979166662,QLD1
2021/10/12,6134.806215277779,QLD1
2021/10/13,5981.359270833331,QLD1
2021/10/14,6178.730868055556,QLD1
2021/10/15,6060.573263888887,QLD1
2021/10/16,5293.893159722225,QLD1
2021/10/17,5282.6830902777765,QLD1
2021/10/18,6193.548854166669,QLD1
2021/10/19,5821.947534722217,QLD1
2021/10/20,5923.190486111104,QLD1
2021/10/21,6051.522465277777,QLD1
2021/10/22,6132.433854166669,QLD1
2021/10/23,5918.457222222218,QLD1
2021/10/24,5965.821562499998,QLD1
2021/10/25,6353.210000000003,QLD1
2021/10/26,6192.878298611112,QLD1
2021/10/27,6229.159270833335,QLD1
2021/10/28,6460.798576388885,QLD1
2021/10/29,6280.543194444451,QLD1
2021/10/30,6014.739305555559,QLD1
2021/10/31,5616.48815972222,QLD1
